Method,SNR_dB,Mean,Bias,Std,RMSE,MSE
CC_time,0,2.509170,-0.050830,0.760143,0.761841,0.580401
PHAT,0,NaN,NaN,NaN,NaN,NaN
ROTH,0,NaN,NaN,NaN,NaN,NaN
SCOT,0,NaN,NaN,NaN,NaN,NaN
ECKART,0,NaN,NaN,NaN,NaN,NaN
HT,0,NaN,NaN,NaN,NaN,NaN
CC_time,10,2.492946,-0.067054,0.158256,0.171876,0.029541
PHAT,10,NaN,NaN,NaN,NaN,NaN
ROTH,10,NaN,NaN,NaN,NaN,NaN
SCOT,10,NaN,NaN,NaN,NaN,NaN
ECKART,10,NaN,NaN,NaN,NaN,NaN
HT,10,NaN,NaN,NaN,NaN,NaN
CC_time,20,2.487772,-0.072228,0.069223,0.100044,0.010009
PHAT,20,NaN,NaN,NaN,NaN,NaN
ROTH,20,NaN,NaN,NaN,NaN,NaN
SCOT,20,NaN,NaN,NaN,NaN,NaN
ECKART,20,NaN,NaN,NaN,NaN,NaN
HT,20,NaN,NaN,NaN,NaN,NaN
